ID,Sirsi Value,Preferred Label,URI
d102c9cc-92da-3fa6-8efa-498ef2107d08,Political cartoons-England-London-1808.,political cartoons,http://vocab.getty.edu/aat/300123224
75f5dc77-23a3-3594-bdf9-b2920cae1723,Black-and-white negatives.,black-and-white negatives,http://vocab.getty.edu/aat/300128343
277c5d27-43f6-36d5-8aa1-5f5f5bb58240,Studio portraits.,studio portraits,http://vocab.getty.edu/aat/300223022
c245ef10-0870-356e-a7bc-1092763d5cc9,Illustrations.,illustrations (layout features) ,http://vocab.getty.edu/aat/300015578
bff1e0eb-f702-362c-996b-7789d123d5ca,Letters (Correspondence),letters (correspondence),http://vocab.getty.edu/aat/300026879
39e25287-e455-3afc-8d78-cd5b748acd12,Receipts.,receipts (financial records) ,http://vocab.getty.edu/aat/300027573
86701b61-ae28-3075-8d82-1d8b77a4b966,Lantern slides.,lantern slides,http://vocab.getty.edu/aat/300134977
ceeac622-23bd-3e86-a386-74e469dce1cd,Photographs.,photographs,http://vocab.getty.edu/aat/300046300
3154d1e8-9236-304c-8a33-2b2fc3c8b988,Professional papers.,professional papers,http://vocab.getty.edu/aat/300028042
fc7113e2-ca02-3b23-92f8-733636ddbba2,Prints.,prints (visual works),http://vocab.getty.edu/aat/300041273
c29431fe-99c2-324e-a730-9c1b01706ee3,Chromolithographs.,chromolithographs,http://vocab.getty.edu/aat/300041384
d66ba596-9373-3343-a8fc-56a5cbc76562,Menus-New York (State)-New York-1825.,menus,http://vocab.getty.edu/aat/300027191
ba6d7519-d7e5-39bf-b8d6-3889a2d40171,Broadsides-Massachusetts-17th century.,broadsides (notices),http://vocab.getty.edu/aat/300026739
6d839b72-ea41-31ee-ba42-080a9571d283,Maps.,maps (documents),http://vocab.getty.edu/aat/300028094
4d4db367-50b1-3103-8f68-8a577083cd02,Illuminated manuscripts.,illuminated manuscripts,http://vocab.getty.edu/aat/300265483
fbe99fcc-84f3-3498-bab7-b79dbe954b21,Prayer books.,prayer books,http://vocab.getty.edu/aat/300026476
cc968074-8a2d-3e54-a8fe-4e802b2cf657,Legal documents.,legal documents,http://vocab.getty.edu/aat/300027590
e0b33304-ba33-3091-9fd3-f90a85a3f95c,Essays.,essays,http://vocab.getty.edu/aat/300026291
6a0f770f-c852-3655-a9b9-0e56ad4b6141,Manuscripts.,manuscripts (documents),http://vocab.getty.edu/aat/300028569
28c220f5-3d26-36a5-80bc-a911f0304ade,Sermons.,sermons,http://vocab.getty.edu/aat/300026669
168c98ac-0331-3667-9dd7-7fdcce0ce0af,Books of hours.,books of hours,http://vocab.getty.edu/aat/300026457
16ab4d68-10f2-3c7f-83bc-082a91eb9324,Engravings-United States-19th century.,engravings (prints),http://vocab.getty.edu/aat/300041340
23e94597-1e91-355d-adfa-28941de7c83e,Papyri.,papyri (manuscripts),http://vocab.getty.edu/aat/300055047
13430c34-4631-35ad-ae79-6f26e3e5479c,Architectural drawings.,architectural drawings (visual works),http://vocab.getty.edu/aat/300034787
2e2741bd-c976-3caf-8c24-d6392ecdc062,Land surveys.,land surveys,http://vocab.getty.edu/aat/300027257
39e0257f-b6c0-3643-ad27-4308831b0a77,Plats.,plats (maps),http://vocab.getty.edu/aat/300028125
